"","x"
"1","genetic diversity"
"2","abundance peaked"
"3","active restoration"
"4","active restoration interventions"
"5","active restoration interventions include"
"6","active restoration interventions include re-seeding"
"7","actively restoring"
"8","adapted ecotype"
"9","adapted ecotypes"
"10","andropogon gerardii"
"11","arabidopsis thaliana"
"12","arabidopsis thaliana ecotype"
"13","arbuscular mycorrhizal"
"14","assisted migrant"
"15","assisted migrant ecotype"
"16","assisted migration"
"17","climate change"
"18","coastal ecotype"
"19","common garden"
"20","community assembly"
"21","community response"
"22","conditions increases"
"23","conditions increases restoration"
"24","contribute valuable"
"25","contribute valuable habitat"
"26","cottonwood survival"
"27","dominant grass"
"28","dominant grasses"
"29","dominant prairie"
"30","dominant prairie grass"
"31","dominant species"
"32","drought tolerance"
"33","early establishment"
"34","ecological restoration"
"35","ecosystem restoration"
"36","ecotype project"
"37","ecotype seeds"
"38","ecotype seeds contribute"
"39","ecotype seeds contribute valuable"
"40","ecotype seeds contribute valuable habitat"
"41","ecotype selected"
"42","ecotypes native"
"43","ecotypes showed"
"44","ecotypic variation"
"45","environmental conditions"
"46","environmental gradient"
"47","future restoration"
"48","genetic basis"
"49","genetic differentiation"
"50","genetic divergence"
"51","genetic structure"
"52","genetic variability"
"53","genetic variation"
"54","grass ecotypes"
"55","grass populations"
"56","grassland restoration"
"57","grasslands restored"
"58","great plains"
"59","habitat restoration"
"60","heavy metal"
"61","heavy metals"
"62","high-diversity restorations"
"63","higher water"
"64","higher water table"
"65","improved survival"
"66","include re-seeding"
"67","increases restoration"
"68","initiate restoration"
"69","interventions include"
"70","interventions include re-seeding"
"71","intraspecific variation"
"72","local adaptation"
"73","local conditions"
"74","local conditions increases"
"75","local conditions increases restoration"
"76","local ecotype"
"77","local ecotype seeds"
"78","local ecotype seeds contribute"
"79","local ecotype seeds contribute valuable"
"80","local ecotype selected"
"81","local ecotypes"
"82","local environmental"
"83","locally adapted"
"84","locally adapted ecotype"
"85","locally adapted ecotypes"
"86","long-term restoration"
"87","lowland ecotype"
"88","lowland ecotypes"
"89","matching ecotypes"
"90","metal tolerance"
"91","migrant ecotype"
"92","mining ecotype"
"93","mycorrhizal fungi"
"94","native ecotype"
"95","native plant"
"96","native plant material"
"97","native plant materials"
"98","native plants"
"99","native species"
"100","niche model"
"101","north america"
"102","north american"
"103","northern ecotype"
"104","organic carbon"
"105","panicum virgatum"
"106","perennial grass"
"107","plant communities"
"108","plant community"
"109","plant ecotype"
"110","plant ecotypes"
"111","plant material"
"112","plant materials"
"113","plant species"
"114","poorly understood"
"115","population genetic"
"116","population genetic structure"
"117","population source"
"118","population sources"
"119","prairie grass"
"120","prairie grasses"
"121","prairie restoration"
"122","prairie restorations"
"123","prairie restored"
"124","prairies located"
"125","precipitation gradient"
"126","present study"
"127","quantitative trait"
"128","reciprocal transplant"
"129","remnant prairies"
"130","removal tripled"
"131","restoration activities"
"132","restoration ecology"
"133","restoration effort"
"134","restoration efforts"
"135","restoration interventions"
"136","restoration interventions include"
"137","restoration interventions include re-seeding"
"138","restoration plant"
"139","restoration process"
"140","restoration project"
"141","restoration projects"
"142","restoration purposes"
"143","restoration stock"
"144","restoration strategies"
"145","restoration success"
"146","restorations planted"
"147","restored grassland"
"148","restored grasslands"
"149","restored prairie"
"150","restored prairies"
"151","restored prairies located"
"152","scale restoration"
"153","seasonally higher"
"154","seasonally higher water"
"155","seasonally higher water table"
"156","seeds contribute"
"157","seeds contribute valuable"
"158","seeds contribute valuable habitat"
"159","selecting restoration"
"160","semi-arid rangelands"
"161","southern ecotype"
"162","suitable ecotype"
"163","switchgrass germplasm"
"164","symbiotic relationships"
"165","tallgrass prairie"
"166","tallgrass prairie restoration"
"167","tamarisk removal"
"168","tamarisk removal tripled"
"169","thaliana ecotype"
"170","transplant experiment"
"171","united states"
"172","upland ecotypes"
"173","utilizing symbiotic"
"174","utilizing symbiotic relationships"
"175","valuable habitat"
"176","water table"
"177","zostera marina"
